Buffer Turnaround Management System — Heatwave Simulation Dataset (Multan Airport / 24-Hr Cycle),,,,,,,,,,
Scenario: Extreme Heat (30°C → 50°C → 32°C) | 50 Flights | Aircraft Mix: A320 / B737 / B777,,,,,,,,,,
Flight_ID,Aircraft_Type,"STA
(HH:MM)","STD
(HH:MM)",Ambient_Temp_C,Humidity_%,Pax_Load_Factor_%,PRM_Count,GSE_Reliability_Score,Static_Buffer_Min,"Ground_Staff
Fatigue_Level"
PK-301,A320,00:05,01:15,30,63,85,1,0.98,15,Low
EK-601,B777,00:34,01:34,30,63,92,3,0.97,15,Low
PA-201,A320,01:03,02:08,29,65,78,0,0.98,15,Low
FZ-401,B737,01:32,02:42,29,65,81,2,0.97,15,Low
QR-501,A320,02:01,03:06,29,64,76,1,0.98,15,Low
TK-701,B737,02:30,03:30,28,66,88,0,0.98,15,Low
GF-801,A320,02:59,04:04,28,67,74,2,0.99,15,Low
SV-901,B777,03:28,04:38,29,65,95,4,0.97,15,Low
AI-101,B737,03:57,05:02,30,63,83,1,0.97,15,Low
PK-302,A320,04:26,05:26,30,63,79,0,0.97,15,Low
EK-602,B777,04:55,06:00,31,62,91,3,0.96,15,Low
PA-202,A320,05:24,06:24,32,60,86,2,0.96,15,Low
FZ-402,B737,05:53,06:58,33,58,77,1,0.95,15,Low
QR-502,B777,06:22,07:27,34,57,89,0,0.95,15,Low
TK-702,A320,06:51,07:51,36,54,82,2,0.94,15,Low
GF-802,B737,07:20,08:25,37,52,84,1,0.93,15,Low
SV-902,A320,07:49,08:54,38,50,78,3,0.91,15,Medium
AI-102,B777,08:18,09:18,40,47,93,2,0.9,15,Medium
PK-303,B737,08:47,09:52,41,45,87,1,0.88,15,Medium
EK-603,A320,09:16,10:16,43,43,80,0,0.86,15,Medium
PA-203,B777,09:45,10:50,44,41,96,4,0.85,15,Medium
FZ-403,B737,10:14,11:14,44,41,72,2,0.85,15,Medium
QR-503,A320,10:43,11:48,45,39,88,1,0.83,15,High
TK-703,B737,11:12,12:12,46,37,84,3,0.81,15,High
GF-803,B777,11:41,12:46,47,35,91,2,0.79,15,High
SV-903,A320,12:10,13:10,48,32,76,0,0.77,15,High
AI-103,B737,12:39,13:44,49,30,89,1,0.75,15,High
PK-304,B777,13:08,14:13,50,25,94,5,0.72,15,High
EK-604,A320,13:37,14:42,50,23,82,2,0.71,15,High
PA-204,B737,14:06,15:06,50,22,87,3,0.7,15,High
FZ-404,A320,14:35,15:40,49,24,79,1,0.72,15,High
QR-504,B777,15:04,16:04,49,26,93,4,0.73,15,High
TK-704,B737,15:33,16:38,48,28,85,2,0.75,15,High
GF-804,A320,16:02,17:07,47,30,77,0,0.78,15,High
SV-904,B737,16:31,17:31,47,31,88,3,0.78,15,High
AI-104,B777,17:00,18:05,46,33,84,1,0.8,15,High
PK-305,A320,17:29,18:34,45,35,90,2,0.82,15,High
EK-605,B737,17:58,19:03,44,37,76,0,0.84,15,Medium
FZ-405,A320,18:27,19:27,43,39,83,1,0.86,15,Medium
QR-505,B777,18:56,20:01,42,41,95,3,0.87,15,Medium
TK-705,B737,19:25,20:25,41,43,78,2,0.89,15,Medium
GF-805,A320,19:54,20:59,40,45,86,1,0.9,15,Medium
SV-905,B777,20:23,21:28,38,48,91,4,0.91,15,Medium
AI-105,B737,20:52,21:57,37,50,82,0,0.92,15,Low
PK-306,A320,21:21,22:21,36,52,79,2,0.93,15,Low
EK-606,B777,21:50,22:55,36,53,88,1,0.94,15,Low
PA-205,B737,22:19,23:24,35,55,85,0,0.95,15,Low
FZ-406,A320,22:48,23:48,34,57,76,3,0.95,15,Low
QR-506,B777,23:17,00:22,33,59,92,2,0.96,15,Low
TK-706,B737,23:46,00:51,32,61,84,1,0.97,15,Low
